Note,Octave,FrequencyMin,FrequencyMax
C,0,15.53,16.45
C#,0,16.45,17.43
D,0,17.43,18.48
D#,0,18.48,19.57
E,0,19.57,20.74
F,0,20.74,21.96
F#,0,21.96,23.27
G,0,23.27,24.66
G#,0,24.66,26.12
A,0,26.12,27.68
A#,0,27.68,29.33
B,0,29.33,31.07
C,1,31.07,32.91
C#,1,32.91,34.87
D,1,34.87,36.95
D#,1,36.95,39.14
E,1,39.14,41.48
F,1,41.48,43.93
F#,1,43.93,46.55
G,1,46.55,49.32
G#,1,49.32,52.25
A,1,52.25,55.37
A#,1,55.37,58.65
B,1,58.65,62.13
C,2,62.13,65.82
C#,2,65.82,69.73
D,2,69.73,73.91
D#,2,73.91,78.28
E,2,78.28,82.95
F,2,82.95,87.86
F#,2,87.86,93.10
G,2,93.10,98.65
G#,2,98.65,104.50
A,2,104.50,110.73
A#,2,110.73,117.31
B,2,117.31,124.26
C,3,124.26,131.63
C#,3,131.63,139.46
D,3,139.46,147.82
D#,3,147.82,156.56
E,3,156.56,165.91
F,3,165.91,175.71
F#,3,175.71,186.20
G,3,186.20,197.30
G#,3,197.30,209.00
A,3,209.00,221.46
A#,3,221.46,234.61
B,3,234.61,248.52
C,4,248.52,263.26
C#,4,263.26,278.92
D,4,278.92,295.64
D#,4,295.64,313.12
E,4,313.12,331.82
F,4,331.82,351.42
F#,4,351.42,372.40
G,4,372.40,394.59
G#,4,394.59,418.00
A,4,418.00,442.93
A#,4,442.93,469.22
B,4,469.22,497.04
C,5,497.04,526.53
C#,5,526.53,557.84
D,5,557.84,591.28
D#,5,591.28,626.24
E,5,626.24,663.63
F,5,663.63,702.85
F#,5,702.85,744.80
G,5,744.80,789.18
G#,5,789.18,836.00
A,5,836.00,885.86
A#,5,885.86,938.45
B,5,938.45,994.08
C,6,994.08,1053.06
C#,6,1053.06,1115.68
D,6,1115.68,1182.56
D#,6,1182.56,1252.48
E,6,1252.48,1327.26
F,6,1327.26,1405.70
F#,6,1405.70,1489.60
G,6,1489.60,1578.37
G#,6,1578.37,1672.00
A,6,1672.00,1771.71
A#,6,1771.71,1876.90
B,6,1876.90,1988.16
C,7,1988.16,2106.11
C#,7,2106.11,2231.36
D,7,2231.36,2365.12
D#,7,2365.12,2504.96
E,7,2504.96,2654.53
F,7,2654.53,2811.39
F#,7,2811.39,2979.20
G,7,2979.20,3156.74
G#,7,3156.74,3344.00
A,7,3344.00,3543.42
A#,7,3543.42,3753.79
B,7,3753.79,3976.32
